LN001,A001,2024-01-05,Home,2024-01-20,2000000,180,780,Approved,5.5,10000.0,16356.92,944245.6,2944245.6
LN002,A002,2024-02-01,Vehicle,2024-02-25,800000,60,720,Approved,8.25,8000.0,16388.15,183289.0,983289.0
LN003,A003,2024-03-10,Personal,2024-03-15,300000,36,810,Approved,11.5,6000.0,9893.67,56172.12,356172.12
LN004,A004,2024-04-01,Education,2024-04-28,1500000,120,640,Approved,7.0,3750.0,17435.94,591312.8,2091312.8
LN005,A005,2024-05-01,Home,2024-06-15,5000000,240,590,Approved,8.0,25000.0,41822.06,5037294.4,10037294.4
LN006,A006,2024-06-01,Vehicle,2024-06-20,400000,48,760,Approved,7.25,4000.0,9637.13,62582.24,462582.24
LN007,A007,2024-07-10,Personal,2024-07-18,150000,24,700,Approved,12.25,3000.0,7087.88,20109.12,170109.12
LN008,A008,2024-08-01,Education,2024-08-30,900000,96,830,Approved,4.5,2250.0,10234.62,82523.52,982523.52
LN00X,A009,2024-09-01,Home,2024-09-10,1200000,120,750,Approved,5.5,6000.0,13029.44,363532.8,1563532.8
LN009,A010,2024-10-01,Mortgage,2024-10-15,600000,60,700,Approved,9.0,6000.0,12441.5,146490.0,746490.0
