SCH001,ST001,2024-02-10,UG,2024-01-01,8.5,80000,SC,Eligible,40000.0,6000.0,15000.0,72600.0
SCH002,ST002,2024-03-05,PG,2024-01-15,9.2,220000,General,Eligible,60000.0,15000.0,8000.0,83000.0
SCH003,ST003,2024-04-20,Diploma,2024-01-10,7.1,310000,OBC,Eligible,25000.0,2000.0,3000.0,33000.0
SCH004,ST004,2024-05-01,PhD,2024-02-01,9.5,60000,ST,Eligible,100000.0,25000.0,15000.0,175000.0
SCH005,ST005,2024-06-01,UG,2024-05-01,6.4,550000,General,Eligible,40000.0,0.0,0.0,40000.0
SCH006,ST006,2022-01-01,PG,2024-01-01,8.2,180000,SC,Eligible,60000.0,9000.0,8000.0,92400.0
SCH007,ST007,2024-07-01,UG,2024-04-01,5.8,75000,OBC,Eligible,40000.0,0.0,15000.0,60500.0
SCH008,ST008,2024-08-10,PhD,2024-06-01,8.8,420000,General,Eligible,100000.0,15000.0,3000.0,118000.0
SCH009,ST009,2024-09-01,Diploma,2024-07-15,9.1,90000,ST,Eligible,25000.0,6250.0,15000.0,57812.5
SCH00X,ST010,2024-10-01,UG,2024-09-01,7.6,200000,SC,Eligible,40000.0,3200.0,8000.0,61440.0
SCH010,ST011,2024-11-01,Masters,2024-10-01,8.0,120000,General,Eligible,0.0,0.0,0.0,0.0
