EXP001,E001,2024-01-10,Tier1,2024-01-17,7,Flight,Approved,16000.0,35000.0,8400.0,3500.0,62900.0
EXP002,E002,2024-02-01,Tier2,2024-02-06,5,Train,Approved,2250.0,12500.0,3500.0,1500.0,19750.0
EXP003,E003,2024-03-05,Tier3,2024-03-10,5,Bus,Approved,800.0,6000.0,2000.0,750.0,9550.0
EXP004,E004,2024-04-01,Tier1,2024-04-11,10,Flight,Approved,16000.0,50000.0,12000.0,5000.0,83000.0
EXP005,E005,2024-05-01,Tier2,2024-05-15,14,Train,Approved,2250.0,35000.0,9800.0,4200.0,51250.0
EXP006,E006,2024-06-01,Tier1,2024-07-20,49,Flight,Approved,16000.0,245000.0,58800.0,24500.0,344300.0
EXP007,E007,2024-07-01,Tier3,2024-07-09,8,Own Vehicle,Approved,500.0,9600.0,3200.0,1200.0,14500.0
EXP008,E008,2024-08-05,Tier1,2024-08-17,12,Train,Approved,2000.0,60000.0,14400.0,6000.0,82400.0
EXP009,E009,2024-09-01,Tier2,2024-09-10,9,Bus,Approved,1200.0,22500.0,6300.0,2700.0,32700.0
EXP00X,E010,2024-10-01,Tier1,2024-10-06,5,Flight,Approved,16000.0,25000.0,6000.0,2500.0,49500.0
EXP010,E011,2024-11-01,Tier4,2024-11-08,7,Flight,Approved,16000.0,35000.0,8400.0,3500.0,62900.0
